Date,Open,High,Low,Close,Volume,Crypto,Daily_Return,Log_Return,Price_Range,MA_7,MA_30,Volatility_7,Cumulative_Return
2021-01-01,0.1813820004463195,0.1842460036277771,0.1720219999551773,0.1753499954938888,1122218004,ADA,,,0.012224003672599792,,,,0.0
2021-01-02,0.1753589957952499,0.1842530071735382,0.1692329943180084,0.1774230003356933,1408849504,ADA,1.18220980614554,0.011752762982581712,0.015020012855529813,,,,1.18220980614554
2021-01-03,0.177382007241249,0.2086790055036544,0.1733759939670562,0.2049950063228607,2303857909,ADA,15.540265881537207,0.14444890557007645,0.035303011536598206,,,,16.906194234835368
2021-01-04,0.2052360028028488,0.2396609932184219,0.1944500058889389,0.2247619926929474,3260699086,ADA,9.642667265247585,0.09205641263368981,0.045210987329483004,,,,28.179069557364578
2021-01-05,0.2248169928789138,0.2648859918117523,0.2084539979696273,0.2583140134811401,4097207384,ADA,14.927800019120173,0.13913391928924326,0.05643199384212502,,,,47.313384727256924
2021-01-06,0.2585490047931671,0.3462980091571808,0.2562249898910522,0.3318980038166046,6170988900,ADA,28.486255679209215,0.2506517529317171,0.0900730192661286,,,,89.27745215036047
2021-01-07,0.3322719931602478,0.3533439934253692,0.2832159996032715,0.2999800145626068,5149188552,ADA,-9.616806635460994,-0.10111184998321261,0.07012799382209772,0.23896028952939166,,,71.0750055725331
2021-01-08,0.3003869950771332,0.3201909959316253,0.2664760053157806,0.3055970072746277,4560690774,ADA,1.8724556434904116,0.01855140998242622,0.05371499061584473,0.25756700549806866,,12.358621954596552,74.27830916897753
2021-01-09,0.3056110143661499,0.338595986366272,0.2966940104961395,0.3329730033874511,3655608662,ADA,8.958201638480624,0.08579415149056749,0.041901975870132446,0.27978843450546265,,11.893999935415726,89.89051151646919
2021-01-10,0.3329609930515289,0.340393990278244,0.2845560014247894,0.3048950135707855,3732911206,ADA,-8.432512405215542,-0.08809391623530209,0.055837988853454645,0.29405986411230906,,13.382025182652928,73.87797057651566
2021-01-11,0.3049960136413574,0.3049960136413574,0.233033001422882,0.2754659950733185,4768803200,ADA,-9.65218097626732,-0.10150330843619865,0.07196301221847543,0.3013032930237906,,14.572619282342664,57.09495417860953
2021-01-12,0.2752490043640136,0.3133699893951416,0.2657270133495331,0.2870030105113983,4037298875,ADA,4.188181352478404,0.041028514177395316,0.04764297604560852,0.30540172117097036,,13.746750165347468,63.67437575520256
2021-01-13,0.2866879999637604,0.3144649863243103,0.2723950147628784,0.3136090040206909,2656935144,ADA,9.270283772244948,0.08865429457339005,0.042069971561431885,0.3027890069144113,,8.586091946632417,78.84745485016032
