Crypto,ARIMA,LSTM,Prophet,Best Model
LTC,28.21,2.98,100.36,LSTM
BNB,13.51,3.08,20.52,LSTM
LINK,50.9,3.44,272.82,LSTM
SOL,45.58,3.73,97.51,LSTM
ETH,29.96,3.76,51.6,LSTM
ADA,71.73,4.46,83.89,LSTM
DOGE,54.2,4.62,135.47,LSTM
BTC,21.25,7.52,69.15,LSTM
XRP,32.38,11.05,2673.12,LSTM
DOT,64.59,38.6,150.25,LSTM
