Crypto,ARIMA,LSTM,Prophet,Best Model
ADA,0.35,0.0402,0.4104,LSTM
BNB,141.947,40.462,218.641,LSTM
BTC,22420.1843,8651.8113,72346.5161,LSTM
DOGE,0.088,0.0124,0.2219,LSTM
DOT,1.5996,1.3043,3.7904,LSTM
ETH,1056.1825,177.3323,1825.9073,LSTM
LINK,7.6858,0.8297,42.1908,LSTM
LTC,26.1636,4.1251,95.3144,LSTM
SOL,71.0384,8.7224,150.6752,LSTM
XRP,0.7441,0.3239,82.3289,LSTM
