Crypto,ARIMA,LSTM,Prophet,Best Model
ADA,0.3194,0.0293,0.3784,LSTM
BNB,129.7031,27.6259,190.7297,LSTM
BTC,19685.846,8054.9449,64349.3805,LSTM
DOGE,0.0811,0.009,0.201,LSTM
DOT,1.4652,1.1092,3.3646,LSTM
ETH,939.8281,129.6812,1623.7599,LSTM
LINK,7.0929,0.5862,37.6452,LSTM
LTC,24.0957,2.8377,85.5296,LSTM
SOL,63.7961,6.5199,138.7005,LSTM
XRP,0.6833,0.287,53.1067,LSTM
