Crypto,MAE,RMSE,MAPE
BNB,190.7297,218.641,20.5249
ETH,1623.7599,1825.9073,51.6
BTC,64349.3805,72346.5161,69.1537
ADA,0.3784,0.4104,83.889
SOL,138.7005,150.6752,97.5143
LTC,85.5296,95.3144,100.3584
DOGE,0.201,0.2219,135.4715
DOT,3.3646,3.7904,150.2505
LINK,37.6452,42.1908,272.8172
XRP,53.1067,82.3289,2673.1233
