Date,Forecast,Lower_Bound,Upper_Bound,Crypto
2021-01-01,988.6043951561896,822.8201615766586,1174.0123199738275,ETH
2021-01-02,1052.845531316364,891.0926583197349,1236.030697020105,ETH
2021-01-03,1164.931522719917,982.9525056061841,1378.650518655048,ETH
2021-01-04,1203.5926733031981,1025.9692205136555,1433.1033673629588,ETH
2021-01-05,1152.6441043190966,974.5658497987778,1360.887862579779,ETH
2021-01-06,1171.920748595313,997.9091299976071,1405.0171242145614,ETH
2021-01-07,1152.0282046051434,971.5503387730247,1358.21833999494,ETH
2021-01-08,1159.4932664198607,974.3318608680403,1382.178961777938,ETH
2021-01-09,1144.1377422091996,951.1233076274995,1367.2900842093159,ETH
2021-01-10,1178.3016314861775,995.5586759286233,1411.1712658804242,ETH
2021-01-11,1248.9424024880311,1058.0360455295954,1471.2840567781714,ETH
2021-01-12,1169.3814000232678,992.380260646076,1380.784288603778,ETH
2021-01-13,1158.635599558425,985.7512576219561,1357.2410456221264,ETH
2021-01-14,1181.8250645183516,1001.3861939266117,1387.8756646627235,ETH
2021-01-15,1195.0640343744542,1009.813144229587,1398.3457969297576,ETH
2021-01-16,1213.8116196614135,1033.4417292297276,1433.7696075604013,ETH
2021-01-17,1202.5919851361061,1015.7125716143901,1410.464427613214,ETH
2021-01-18,1165.627496062648,983.0331299112624,1370.0754337079788,ETH
2021-01-19,1256.074287514008,1058.0711896898977,1479.7148688422938,ETH
2021-01-20,1259.5356892407317,1062.016123569227,1496.2067016357157,ETH
2021-01-21,1255.3998720077504,1050.210708042803,1488.4985768715305,ETH
2021-01-22,1244.2513999233172,1065.4898712818924,1470.8841547397271,ETH
2021-01-23,1209.649923490732,1019.2660516131257,1443.5858647427056,ETH
2021-01-24,1259.664389515404,1064.9077934325646,1479.4827524244592,ETH
2021-01-25,1284.3379296897444,1081.517275521747,1526.3663853976227,ETH
2021-01-26,1303.2272769283643,1096.0145003914756,1540.6755885390344,ETH
2021-01-27,1331.733664510125,1128.2982200818196,1582.2572484429993,ETH
2021-01-28,1344.2869540530953,1136.4803818114303,1579.4995773912506,ETH
2021-01-29,1468.7201446845374,1238.8197995754465,1703.467187774825,ETH
2021-01-30,1421.6112003648518,1202.182471601278,1679.600182220298,ETH
2021-01-31,1422.6924342351688,1205.63256031161,1681.6173934390338,ETH
2021-02-01,1441.3435855778655,1227.7924844699314,1711.9410427176974,ETH
2021-02-02,1559.0410901295495,1320.5377674742015,1838.757167881244,ETH
2021-02-03,1578.4443150733769,1355.1491494410666,1885.0189801730658,ETH
2021-02-04,1622.056680527608,1369.0906275829363,1910.7891352927668,ETH
2021-02-05,1615.1095887406266,1375.4255417471545,1900.891948164152,ETH
2021-02-06,1671.690223523499,1418.4700469051963,1987.462475504225,ETH
2021-02-07,1681.7187168877215,1427.0282568360612,1978.0778583830124,ETH
2021-02-08,1707.454884534054,1446.325098782073,2004.7204962690619,ETH
2021-02-09,1704.1936587120729,1454.497856359761,2013.132849236188,ETH
2021-02-10,1723.406370299119,1432.2114057173083,2026.7835538012484,ETH
2021-02-11,1713.3628326562932,1433.4383574153462,2005.314620149883,ETH
2021-02-12,1739.9475256813798,1474.6203452314437,2060.431267242541,ETH
2021-02-13,1778.997607495905,1506.761664795748,2087.14013409578,ETH
2021-02-14,1749.228793397481,1468.251801431185,2049.7904124768343,ETH
2021-02-15,1746.7244184275412,1483.8584937084306,2036.583169866838,ETH
2021-02-16,1702.7949193358322,1438.6636783118818,2007.288058136538,ETH
2021-02-17,1705.2453167283359,1430.672342691659,2038.2629237690574,ETH
2021-02-18,1643.114159763739,1386.924123485807,1919.7965588122424,ETH
2021-02-19,1610.9810704817749,1371.837223181941,1927.2767466778132,ETH
2021-02-20,1689.4358082966048,1435.2198369955343,1997.2075749231697,ETH
2021-02-21,1605.6095040110056,1376.3194132799547,1906.2153252125431,ETH
2021-02-22,1669.5950154837979,1414.393738745476,1986.3663612165471,ETH
2021-02-23,1723.8223391840868,1471.3675201826895,2064.2999992349846,ETH
2021-02-24,1606.5329794862298,1357.1302809923131,1899.8372063081295,ETH
2021-02-25,1575.6835717050665,1331.0135163942693,1841.2028377914187,ETH
2021-02-26,1626.967364365492,1391.0896866484231,1939.227916436743,ETH
2021-02-27,1624.851048829413,1367.1213470443147,1929.9141795026549,ETH
2021-02-28,1684.2568419285865,1429.4961596246555,2002.7634309719492,ETH
2021-03-01,1635.0872896311023,1392.001565882229,1924.8017626283806,ETH
2021-03-02,1636.2924370429241,1375.3094932041486,1933.6775047764818,ETH
2021-03-03,1656.3532622733762,1395.6463258877088,1962.1735502070608,ETH
2021-03-04,1672.6988534153018,1402.8976678095364,1971.870662498048,ETH
2021-03-05,1672.956757360126,1411.1546470415667,1959.535079658098,ETH
2021-03-06,1745.1259635323631,1478.6803574045484,2069.593289731836,ETH
2021-03-07,1757.883662929053,1490.6238992690148,2063.303505638538,ETH
2021-03-08,1739.5623364011633,1468.7215007566333,2068.529318422051,ETH
2021-03-09,1700.5250323149792,1432.7457920786128,2001.8509281087208,ETH
2021-03-10,1703.2034265589275,1429.6351208926997,2014.3715934975828,ETH
2021-03-11,1683.5823455298444,1426.2309759825314,1988.0026994058844,ETH
2021-03-12,1663.5185542542388,1426.2679984143797,1948.42044724409,ETH
2021-03-13,1728.168579147868,1469.84658762067,2047.5711235677722,ETH
2021-03-14,1694.154152313167,1441.212991322221,2007.190821380378,ETH
2021-03-15,1701.5388534319977,1422.0383911979566,1998.4305755947685,ETH
2021-03-16,1685.2488286919968,1409.4017869579638,1991.8968318942223,ETH
2021-03-17,1694.2537332392815,1441.8992118463168,1967.795111279187,ETH
2021-03-18,1684.4556167998344,1419.239402423408,1977.6718451437534,ETH
2021-03-19,1667.9570368257628,1419.4388736092135,1976.9136023793276,ETH
2021-03-20,1728.8086687962684,1474.558128663267,2047.8947049585643,ETH
2021-03-21,1734.9266981078856,1476.355287950576,2059.385407750545,ETH
2021-03-22,1704.0295234650368,1436.49568573371,2018.3302047801026,ETH
2021-03-23,1697.507107412127,1440.6253160816552,2050.840765171816,ETH
2021-03-24,1770.1450433600148,1506.0437403592919,2080.8208227012396,ETH
2021-03-25,1766.5123285471939,1488.2935744298638,2084.635078231143,ETH
2021-03-26,1726.5871543082862,1449.4531223277581,2046.0969081593034,ETH
2021-03-27,1766.2331467143895,1482.5916858409616,2086.466439757617,ETH
2021-03-28,1782.806409644957,1504.3237221388576,2109.104400847496,ETH
2021-03-29,1817.8574318607575,1525.4826700201509,2155.293011083182,ETH
2021-03-30,1853.0559392867915,1558.2240502037919,2193.1147052290908,ETH
2021-03-31,1954.2286446810253,1670.7813674699105,2327.418691210933,ETH
2021-04-01,1992.2637852431042,1679.6189079117241,2353.807064719197,ETH
2021-04-02,2045.574706239543,1720.813055929741,2409.147329925892,ETH
2021-04-03,2107.996176874908,1782.4163606124116,2479.655491507433,ETH
2021-04-04,2081.857277801902,1748.1011651360463,2487.7770315666835,ETH
2021-04-05,2075.374849448575,1753.914585359233,2447.8823862619947,ETH
2021-04-06,2088.3552150470077,1763.2600382269359,2473.8467928586274,ETH
2021-04-07,2151.3813548799403,1829.5886835120764,2574.0300051338904,ETH
2021-04-08,2048.0159422256893,1747.8477933195547,2453.465844885449,ETH
2021-04-09,1978.7703983324857,1673.8190198841733,2347.7738727186575,ETH
2021-04-10,2061.8988522257982,1748.9331715601468,2429.4693567902254,ETH
2021-04-11,2017.062712398494,1708.559835727394,2365.9346508663484,ETH
2021-04-12,2000.4593296283779,1707.4191843464118,2374.8715366216525,ETH
2021-04-13,2089.5171037093996,1768.0311084061414,2449.2934430387886,ETH
2021-04-14,2182.5163752403982,1830.0346799107915,2579.4772141207472,ETH
2021-04-15,2183.355285839068,1851.9726195578894,2550.0564612012063,ETH
2021-04-16,2231.889425661443,1912.7937984306616,2633.9771399946794,ETH
2021-04-17,2280.3999717342963,1914.476904505101,2684.5436700530086,ETH
2021-04-18,2466.2993857351908,2080.053268683663,2924.4591456455196,ETH
2021-04-19,2274.919747002103,1938.4374139245863,2669.703679882561,ETH
2021-04-20,2344.616074263589,1999.123915825995,2791.3395972537787,ETH
2021-04-21,2372.0506324617045,1985.2720491639345,2793.469711407568,ETH
2021-04-22,2535.65755534523,2142.290818584965,3008.0748441342175,ETH
2021-04-23,2571.6328245722293,2173.7799371842066,3019.040370944502,ETH
2021-04-24,2443.8500663979153,2072.016912293494,2873.1375280855555,ETH
2021-04-25,2485.387215942305,2096.5317996644767,2992.9155108023024,ETH
2021-04-26,2519.6304726609387,2111.5788816915015,2981.0210986872175,ETH
2021-04-27,2568.3531901476913,2173.3562815304426,3044.0710676919075,ETH
2021-04-28,2693.392517992518,2266.142473750615,3168.8188430086666,ETH
2021-04-29,2730.8810980523044,2312.99330447252,3210.8568060763364,ETH
2021-04-30,2743.378805723498,2313.5759947251827,3252.237394175045,ETH
2021-05-01,2855.7023408767204,2407.9903907581574,3407.5193942351334,ETH
2021-05-02,2879.241271157462,2444.1742875068794,3430.469603751245,ETH
2021-05-03,3085.7974509543915,2615.300852076189,3613.1092810536366,ETH
2021-05-04,3282.9184208776132,2782.677701480933,3911.6020009785116,ETH
2021-05-05,3150.7685753661513,2655.731063778534,3713.237575222315,ETH
2021-05-06,3125.36127108721,2614.155274338183,3756.5620558202186,ETH
2021-05-07,3069.301035304956,2623.815826504856,3650.710317823853,ETH
2021-05-08,3286.1238857424087,2796.890776272846,3829.995114151911,ETH
2021-05-09,3266.7112480654823,2741.494027263767,3875.012642085895,ETH
2021-05-10,3320.8183879468256,2804.8472593839747,3914.587774967571,ETH
2021-05-11,3180.084187685191,2729.519488109725,3764.3041864180923,ETH
2021-05-12,3405.147854569371,2884.6522197994955,3970.7150019572173,ETH
2021-05-13,3539.269189782024,2997.134037041069,4151.1779024176685,ETH
2021-05-14,3136.714155931825,2659.5438825203405,3658.579345869253,ETH
2021-05-15,3140.0646994708236,2642.8701481228286,3729.134350827843,ETH
2021-05-16,3160.399791414948,2660.502909170464,3767.6425370196566,ETH
2021-05-17,3114.3101524746858,2613.662627836695,3692.9937921176665,ETH
2021-05-18,2897.650187702322,2461.0739546299005,3447.071916129792,ETH
2021-05-19,3389.3452516027,2876.2727972154485,4063.470057411169,ETH
2021-05-20,3118.9789830315617,2666.0064839510046,3699.8431440021404,ETH
2021-05-21,2898.879650070266,2458.3804097652865,3430.426846808294,ETH
2021-05-22,2806.303902705304,2392.0821827354293,3304.0642320496336,ETH
2021-05-23,2916.0153975293856,2454.0323659643313,3468.5747987061136,ETH
2021-05-24,2788.2987597285055,2351.0488444850967,3271.6444245698003,ETH
2021-05-25,2721.2898138567475,2325.2964588786576,3215.5421919815144,ETH
2021-05-26,2650.6600577715735,2275.978458165139,3098.1918671823887,ETH
2021-05-27,2562.3374645593626,2151.906141575015,3010.052094437871,ETH
2021-05-28,2634.2827163978054,2225.3234711826904,3154.2702999103717,ETH
2021-05-29,2665.525336306654,2267.121503849371,3162.7963631385755,ETH
2021-05-30,2603.7655063831735,2215.8136737446866,3083.4004613561547,ETH
2021-05-31,2611.5892854646054,2231.012382711719,3099.787243854166,ETH
2021-06-01,2589.3765246324165,2175.986799866435,3051.5123986350127,ETH
2021-06-02,2616.7349357213748,2207.27165484788,3110.5900502805052,ETH
2021-06-03,2652.8199054784914,2256.158771078529,3116.3529088738983,ETH
2021-06-04,2700.743208956497,2294.488182807892,3153.2775371063353,ETH
2021-06-05,2749.1258144763465,2312.678982382511,3258.5745585491936,ETH
2021-06-06,2691.083891688876,2289.470363538892,3210.2669215041715,ETH
2021-06-07,2662.0759936667114,2260.955546275517,3166.5675289138426,ETH
2021-06-08,2736.998883209181,2330.788798567176,3230.906333167972,ETH
2021-06-09,2633.0892659888696,2232.391056573979,3105.426092608955,ETH
2021-06-10,2503.543587380539,2136.0538280675914,2922.9928986790264,ETH
2021-06-11,2408.7087168084104,2044.0109783284574,2849.272529866724,ETH
2021-06-12,2441.815016701527,2051.706574361,2896.600844931731,ETH
2021-06-13,2413.5812424190635,2042.765376254423,2852.769854620628,ETH
2021-06-14,2318.0954405286643,1959.9366269952573,2750.847537127473,ETH
2021-06-15,2291.5600532134504,1935.5768991026293,2722.6322720140465,ETH
2021-06-16,2210.7954316551495,1874.309976980084,2598.587836782639,ETH
2021-06-17,2143.3522301810503,1807.34919968038,2546.6143418770203,ETH
2021-06-18,2098.800900683974,1790.7234768506337,2476.3961341208715,ETH
2021-06-19,2085.2043871085643,1743.3298118693929,2489.308998848168,ETH
2021-06-20,2076.7493681675433,1766.2808017571613,2444.719128098673,ETH
2021-06-21,2082.2224459329504,1744.4889687575508,2442.201890947551,ETH
2021-06-22,2062.5177781627535,1738.6139831361204,2432.722331068107,ETH
2021-06-23,1985.211543859682,1674.8068186753503,2365.715475777394,ETH
2021-06-24,1898.8948850523889,1619.9556171261136,2241.4421199544067,ETH
2021-06-25,1891.6186891989921,1613.263246683871,2212.469182315912,ETH
2021-06-26,1929.5523498004573,1637.7322496082804,2284.7228802815516,ETH
2021-06-27,1934.2363862877176,1635.2825952938847,2294.824500602277,ETH
2021-06-28,1952.6535801588122,1637.5583383806725,2301.14717284872,ETH
2021-06-29,1976.3575846204733,1705.4823608618385,2359.2639845865574,ETH
