Crypto,Order,MAE,RMSE,MAPE
BNB,"(1, 1, 1)",129.7031,141.947,13.5137
BTC,"(2, 1, 2)",19685.846,22420.1843,21.2479
LTC,"(2, 1, 2)",24.0957,26.1636,28.2054
ETH,"(2, 1, 2)",939.8281,1056.1825,29.9646
XRP,"(2, 1, 2)",0.6833,0.7441,32.377
SOL,"(2, 1, 1)",63.7961,71.0384,45.5824
LINK,"(1, 1, 1)",7.0929,7.6858,50.9037
DOGE,"(1, 1, 1)",0.0811,0.088,54.1987
DOT,"(1, 1, 1)",1.4652,1.5996,64.5874
ADA,"(1, 1, 1)",0.3194,0.35,71.7328
